Genomic Distance,Column1,HiC_10th_tau_11h,HiC_11th_tau_11h,HiC_12th_tau_11h,HiC_13th_tau_11h,HiC_14th_tau_11h,HiC_15th_tau_11h,HiC_16th_tau_11h,HiC_17th_tau_11h,HiC_18th_tau_11h,HiC_1st_tau_11h,HiC_2nd_tau_11h,HiC_3rd_tau_11h,HiC_4th_tau_11h,HiC_5th_tau_11h,HiC_6th_tau_11h,HiC_7th_tau_11h,HiC_8th_tau_11h,HiC_9th_tau_11h,avee
3659,3658620,1.28755,1.46185,1.41066,1.38797,1.18159,1.19631,1.56494,1.08865,1.19853,1.32649,1.09957,1.17493,1.13759,1.22698,1.12395,1.2946,1.39131,0.946556,1.250001444
3777,3776640,1.30759,1.49103,1.43097,1.41079,1.19255,1.21306,1.58998,1.10375,1.20542,1.33875,1.12119,1.20049,1.15084,1.25941,1.13243,1.30725,1.41824,0.955248,1.268277111
3895,3894660,1.32697,1.52018,1.44886,1.43153,1.20412,1.23017,1.61765,1.11865,1.20863,1.35314,1.14183,1.22502,1.16683,1.29236,1.14269,1.32175,1.44399,0.963957,1.286573722
4013,4012680,1.34512,1.54982,1.46788,1.45571,1.21731,1.24671,1.64529,1.13491,1.21432,1.36761,1.16312,1.24757,1.18561,1.32215,1.15156,1.33744,1.46927,0.974351,1.3053195
4131,4130700,1.36089,1.5763,1.4865,1.48103,1.23239,1.26304,1.67299,1.15151,1.22172,1.37925,1.18472,1.26993,1.20524,1.35487,1.15892,1.35326,1.49279,0.982307,1.323758722
4249,4248720,1.37233,1.59998,1.50433,1.50576,1.2431,1.27772,1.69837,1.16866,1.22909,1.39227,1.20396,1.29222,1.22627,1.38425,1.16333,1.36618,1.51507,0.988599,1.340638278
4367,4366740,1.38112,1.62033,1.52022,1.53009,1.25077,1.29016,1.7219,1.18618,1.23679,1.40634,1.22301,1.31224,1.24549,1.41295,1.16764,1.37701,1.53715,0.997844,1.356513
4485,4484760,1.39145,1.63814,1.53541,1.55439,1.26061,1.30191,1.74571,1.20318,1.2436,1.42229,1.24325,1.33196,1.26232,1.43788,1.17035,1.38692,1.55607,1.00465,1.371671667
4603,4602780,1.40179,1.65411,1.55095,1.57778,1.2708,1.31141,1.76823,1.21986,1.25114,1.43866,1.2626,1.35382,1.28085,1.46269,1.17568,1.39741,1.57413,1.01288,1.386932778
4721,4720800,1.40931,1.66963,1.56497,1.60134,1.27776,1.31989,1.79023,1.2348,1.2618,1.45666,1.28072,1.37336,1.29593,1.48761,1.18007,1.40824,1.59094,1.02226,1.401417778
4839,4838820,1.41702,1.68392,1.57885,1.62585,1.28318,1.32847,1.80947,1.24905,1.27249,1.47469,1.29769,1.39425,1.30805,1.51073,1.18469,1.41956,1.60509,1.03268,1.415318333
4957,4956840,1.42603,1.6973,1.59188,1.64969,1.287,1.33545,1.82662,1.26428,1.28509,1.49212,1.31172,1.41895,1.32074,1.53649,1.18943,1.43042,1.61893,1.04508,1.42929
5075,5074860,1.4354,1.70886,1.60384,1.67047,1.28999,1.34174,1.84473,1.27834,1.29562,1.50795,1.3305,1.44553,1.32975,1.55966,1.19256,1.44055,1.63351,1.05566,1.442481111
5193,5192880,1.44275,1.71754,1.61657,1.69066,1.29408,1.35016,1.86207,1.29359,1.30858,1.52085,1.3472,1.47148,1.33909,1.58292,1.19979,1.44834,1.64501,1.06351,1.455232778
5311,5310900,1.44775,1.72574,1.63068,1.71008,1.30234,1.36341,1.88023,1.30691,1.32097,1.53403,1.36291,1.50024,1.34666,1.60783,1.20752,1.45229,1.65805,1.0704,1.468224444
5429,5428920,1.45054,1.73426,1.64553,1.73057,1.31306,1.38226,1.8962,1.31777,1.33792,1.54652,1.37676,1.52949,1.35218,1.63207,1.21196,1.45318,1.66693,1.07634,1.480752222
5547,5546940,1.45144,1.74279,1.66022,1.74994,1.32435,1.40055,1.91131,1.3281,1.35419,1.55998,1.39021,1.55577,1.3583,1.6561,1.21343,1.45448,1.67439,1.08471,1.492792222
5665,5664960,1.45295,1.75308,1.67299,1.7674,1.33567,1.41934,1.92442,1.33871,1.36786,1.57158,1.40315,1.58105,1.36769,1.68231,1.21269,1.45343,1.68231,1.09333,1.504442222
5783,5782980,1.45338,1.76285,1.68705,1.78456,1.3439,1.43887,1.93532,1.34911,1.38307,1.58117,1.41963,1.60476,1.38017,1.71007,1.21411,1.45419,1.68918,1.10167,1.516281111
5901,5901000,1.45519,1.77346,1.70079,1.8033,1.35226,1.4603,1.94717,1.36187,1.40018,1.5912,1.43572,1.62894,1.39655,1.73689,1.21792,1.45774,1.69576,1.11149,1.529262778
6019,6019020,1.45529,1.78293,1.71296,1.82047,1.35909,1.48225,1.95893,1.37029,1.41912,1.60106,1.45228,1.65435,1.41217,1.76624,1.22285,1.46186,1.70275,1.12295,1.542102222
6137,6137040,1.45511,1.7913,1.72317,1.83572,1.3649,1.50112,1.97029,1.37606,1.43758,1.61348,1.46781,1.68179,1.42777,1.79565,1.22846,1.46518,1.71022,1.13468,1.554460556
6255,6255060,1.45191,1.80035,1.73502,1.85246,1.37348,1.5208,1.98282,1.38113,1.4568,1.62806,1.48206,1.71203,1.44402,1.82462,1.23291,1.46622,1.71828,1.14466,1.567090556
6373,6373080,1.44686,1.80603,1.74596,1.86814,1.38371,1.53698,1.99591,1.38511,1.47579,1.64383,1.49449,1.7441,1.45726,1.85666,1.23664,1.46727,1.72431,1.15582,1.579159444
6491,6491100,1.44164,1.81079,1.75642,1.88272,1.39621,1.55119,2.00826,1.38932,1.49378,1.66254,1.50168,1.77609,1.46893,1.89167,1.24194,1.46746,1.72887,1.16376,1.590737222
6609,6609120,1.43582,1.81637,1.76419,1.89482,1.41002,1.56524,2.01977,1.39306,1.51191,1.68287,1.50794,1.80829,1.48033,1.92633,1.24019,1.46704,1.73516,1.17357,1.601828889
6727,6727140,1.42728,1.82006,1.76921,1.90681,1.42339,1.57855,2.03091,1.40098,1.52788,1.7024,1.51248,1.83706,1.48674,1.95859,1.23473,1.4656,1.74093,1.18343,1.611501667
6845,6845160,1.4141,1.8249,1.77294,1.91964,1.43292,1.59081,2.04028,1.40738,1.54325,1.71563,1.51856,1.86302,1.49341,1.98665,1.22747,1.46246,1.75223,1.19597,1.62009
6963,6963180,1.40022,1.8324,1.77733,1.93107,1.44113,1.60204,2.04752,1.41426,1.55789,1.72524,1.52437,1.88904,1.49957,2.01319,1.21903,1.45797,1.76471,1.20631,1.627960556
7081,7081200,1.38383,1.84102,1.78312,1.94253,1.4459,1.61121,2.05515,1.42207,1.57307,1.73511,1.5323,1.91394,1.50231,2.04176,1.20904,1.45677,1.77417,1.21164,1.635274444
7199,7199220,1.36932,1.85138,1.78966,1.95564,1.44898,1.61862,2.06404,1.42898,1.58925,1.74981,1.54003,1.94163,1.50563,2.0702,1.19322,1.45706,1.78411,1.21689,1.643025
7317,7317240,1.35794,1.86364,1.79935,1.96699,1.45218,1.62144,2.07291,1.43802,1.60548,1.7647,1.54569,1.97053,1.5102,2.09767,1.17594,1.45856,1.7933,1.21892,1.650747778
7435,7435260,1.34546,1.8741,1.81001,1.97845,1.455,1.62235,2.08022,1.44626,1.61894,1.7798,1.54907,1.99754,1.51409,2.12213,1.15702,1.46158,1.80385,1.21762,1.657416111
7553,7553280,1.32999,1.88463,1.8222,1.99214,1.45709,1.6225,2.08744,1.45448,1.62947,1.79508,1.55019,2.02446,1.51904,2.14612,1.13812,1.46228,1.8147,1.2158,1.663651667
7671,7671300,1.30809,1.89682,1.82919,2.00093,1.4552,1.62344,2.09279,1.45801,1.63884,1.81077,1.55139,2.04946,1.5217,2.17046,1.11586,1.46205,1.82266,1.21033,1.667666111
7789,7789320,1.28884,1.91104,1.83337,2.01434,1.45411,1.62506,2.09744,1.45977,1.64879,1.82619,1.55081,2.07218,1.5231,2.19277,1.09603,1.46058,1.82926,1.20693,1.671700556
7907,7907340,1.27387,1.9235,1.83959,2.03019,1.45292,1.62332,2.10494,1.46162,1.65864,1.83924,1.54984,2.09505,1.52332,2.21368,1.07718,1.4577,1.83384,1.20515,1.675755
8025,8025360,1.26378,1.93661,1.84515,2.04963,1.45433,1.6217,2.11188,1.46206,1.67023,1.85354,1.54517,2.11939,1.51919,2.23304,1.0617,1.45442,1.8371,1.20647,1.680299444
8143,8143380,1.26241,1.95388,1.85284,2.07146,1.45708,1.62509,2.1194,1.46516,1.68355,1.86676,1.54156,2.14452,1.51523,2.25266,1.04753,1.45655,1.84227,1.20884,1.687043889
8261,8261400,1.26554,1.97396,1.85601,2.09573,1.46005,1.63008,2.12446,1.46991,1.69776,1.87874,1.53943,2.17074,1.51169,2.27421,1.03489,1.45692,1.84651,1.21099,1.694312222
8379,8379420,1.26787,1.99299,1.85682,2.12187,1.46545,1.63406,2.12862,1.47316,1.71257,1.89119,1.53706,2.19763,1.50591,2.29276,1.02133,1.45753,1.84961,1.21399,1.701134444
8497,8497440,1.26846,2.01285,1.85844,2.15053,1.47436,1.64099,2.1322,1.47397,1.7256,1.90686,1.53611,2.22254,1.49989,2.31349,1.01535,1.45454,1.8543,1.21879,1.708848333
8615,8615460,1.26553,2.03156,1.86234,2.17905,1.47854,1.64586,2.13745,1.47548,1.73589,1.92215,1.53532,2.24539,1.4914,2.33224,1.00855,1.44836,1.85775,1.22433,1.715399444
8733,8733480,1.27011,2.05178,1.86871,2.20788,1.48354,1.64799,2.14316,1.479,1.74602,1.939,1.53238,2.26707,1.47794,2.35135,1.0039,1.43863,1.86276,1.2305,1.722317778
8852,8851500,1.28051,2.07255,1.87563,2.23658,1.48519,1.6515,2.14981,1.4852,1.7562,1.9564,1.52802,2.29032,1.46501,2.37264,0.998932,1.42608,1.86792,1.23817,1.729814556
8970,8969520,1.29697,2.0953,1.88168,2.26482,1.48501,1.65795,2.15578,1.49161,1.76611,1.97491,1.52163,2.31358,1.45471,2.39677,0.999098,1.41484,1.87655,1.24909,1.738689333
9088,9087540,1.31506,2.11608,1.88413,2.28949,1.47995,1.66425,2.16246,1.49817,1.77498,1.99352,1.51212,2.33964,1.44637,2.42341,1.00138,1.40392,1.88516,1.26117,1.747292222
9206,9205560,1.33025,2.13506,1.88249,2.31456,1.47554,1.671,2.17175,1.50473,1.78223,2.01165,1.49946,2.36596,1.43547,2.44676,1.00313,1.39037,1.89028,1.27044,1.754507222
9324,9323580,1.34421,2.15206,1.87899,2.33699,1.47447,1.67571,2.17916,1.50856,1.78691,2.0321,1.48912,2.39292,1.42586,2.46812,1.00918,1.37633,1.8942,1.28214,1.761501667
9442,9441600,1.35732,2.16982,1.87494,2.35872,1.47158,1.6813,2.18401,1.50839,1.79351,2.05148,1.48007,2.41771,1.41456,2.48699,1.01471,1.36528,1.89599,1.29338,1.767764444
9560,9559620,1.37212,2.18271,1.87382,2.37811,1.46663,1.68326,2.18352,1.50861,1.80124,2.06893,1.47535,2.44032,1.40126,2.50497,1.02338,1.35372,1.90112,1.30224,1.773406111
9678,9677640,1.38716,2.19688,1.87658,2.39767,1.46881,1.68838,2.18236,1.50862,1.80871,2.09044,1.47301,2.46375,1.39407,2.52279,1.02851,1.34365,1.90583,1.30767,1.780271667
9796,9795660,1.40116,2.21069,1.87949,2.41877,1.47423,1.68865,2.17988,1.50774,1.81678,2.11132,1.47196,2.48345,1.392,2.53961,1.03527,1.33883,1.91604,1.31577,1.787868889
9914,9913680,1.41747,2.22392,1.88349,2.43857,1.4775,1.68605,2.17606,1.50576,1.82763,2.13241,1.46559,2.50315,1.38483,2.55515,1.0398,1.33599,1.92749,1.31853,1.794410556
10032,10031700,1.43076,2.23392,1.88821,2.45574,1.48629,1.67906,2.16771,1.50478,1.83864,2.15046,1.45935,2.52206,1.38048,2.57079,1.0463,1.33471,1.93595,1.3162,1.800078333
10150,10149700,1.44139,2.24304,1.89316,2.47093,1.4945,1.67204,2.15742,1.50055,1.84986,2.16776,1.45749,2.53811,1.37187,2.58686,1.04632,1.3385,1.94143,1.31441,1.804757778
10268,10267700,1.45496,2.24851,1.90139,2.4874,1.50441,1.66071,2.14524,1.4982,1.8574,2.1839,1.45382,2.55172,1.36544,2.60039,1.04524,1.34394,1.94461,1.31023,1.808750556
10386,10385800,1.46797,2.25656,1.90832,2.50315,1.51707,1.6495,2.13441,1.4959,1.86474,2.19646,1.44925,2.56518,1.36019,2.6107,1.04481,1.35458,1.9486,1.30772,1.813061667
10504,10503800,1.48428,2.26566,1.91665,2.51699,1.53457,1.63701,2.12491,1.49266,1.8745,2.20892,1.44697,2.57867,1.35463,2.62245,1.04464,1.36953,1.95334,1.30733,1.818539444
10622,10621800,1.50328,2.27527,1.92383,2.53166,1.55333,1.62636,2.11354,1.48741,1.88442,2.21923,1.44417,2.59171,1.35214,2.63216,1.04459,1.38667,1.9585,1.3097,1.824331667
10740,10739800,1.52624,2.28535,1.93025,2.54501,1.57213,1.61389,2.09974,1.48593,1.89373,2.23106,1.44036,2.60183,1.35047,2.64045,1.04259,1.40326,1.96375,1.31455,1.830032778
10858,10857800,1.55372,2.29555,1.93824,2.55423,1.58749,1.59748,2.08538,1.48372,1.9019,2.24529,1.43724,2.61236,1.35131,2.64514,1.042,1.41955,1.96859,1.31983,1.835501111
10976,10975900,1.57801,2.30531,1.94916,2.56313,1.60198,1.57851,2.07297,1.47804,1.90808,2.26001,1.42869,2.62268,1.35243,2.6493,1.04133,1.43358,1.97455,1.32826,1.840334444
11094,11093900,1.60312,2.31384,1.96102,2.57508,1.61874,1.55906,2.05949,1.47152,1.91574,2.27221,1.42241,2.62936,1.3502,2.65203,1.04172,1.44633,1.9799,1.33668,1.844913889
11212,11211900,1.63132,2.32171,1.97184,2.5868,1.63556,1.54315,2.04568,1.46502,1.9261,2.28254,1.41584,2.63504,1.34973,2.6562,1.03992,1.45553,1.98482,1.35162,1.849912222
11330,11329900,1.66233,2.33171,1.98276,2.59953,1.65419,1.53048,2.0335,1.45935,1.93669,2.28885,1.41346,2.64022,1.35139,2.66116,1.03923,1.463,1.98828,1.36851,1.855813333
11448,11447900,1.69617,2.34013,1.99223,2.61293,1.67452,1.51646,2.0172,1.45861,1.94257,2.29183,1.41147,2.64299,1.35502,2.66493,1.03619,1.47376,1.98964,1.38382,1.861137222
11566,11566000,1.73176,2.34408,2.00121,2.62801,1.69399,1.49859,1.99577,1.45962,1.946,2.29505,1.41121,2.64218,1.35709,2.67143,1.03553,1.48959,1.9892,1.40422,1.866362778
11684,11684000,1.7698,2.34572,2.01281,2.64227,1.71731,1.4865,1.97604,1.46053,1.95009,2.306,1.41048,2.64298,1.36028,2.68283,1.03657,1.51082,1.99014,1.41998,1.873397222
11802,11802000,1.80698,2.34875,2.02626,2.66012,1.73906,1.47573,1.9594,1.464,1.95891,2.31499,1.40527,2.64536,1.36374,2.69154,1.03785,1.53059,1.99441,1.43617,1.881062778
11920,11920000,1.84398,2.35078,2.03948,2.67883,1.76019,1.46422,1.94342,1.46696,1.97193,2.32142,1.4016,2.64555,1.36959,2.70066,1.03675,1.55224,1.99675,1.4493,1.888536111
12038,12038000,1.88032,2.3501,2.05295,2.69885,1.78244,1.4547,1.92875,1.47319,1.98506,2.32804,1.40063,2.6437,1.373,2.71106,1.03547,1.57941,1.99858,1.46127,1.896528889
12156,12156100,1.9126,2.34852,2.06523,2.71731,1.80455,1.44913,1.91595,1.4812,1.99779,2.33397,1.40356,2.64382,1.3722,2.72058,1.03108,1.6071,1.99938,1.47021,1.904121111
12274,12274100,1.93838,2.34688,2.07969,2.73397,1.82563,1.4448,1.90384,1.49296,2.00912,2.33594,1.40253,2.64293,1.37171,2.7279,1.03242,1.63303,2.00444,1.4824,1.911587222
12392,12392100,1.96096,2.34723,2.09644,2.74875,1.85123,1.44623,1.89524,1.50178,2.02082,2.33738,1.40097,2.64557,1.37316,2.73403,1.03445,1.66,2.00477,1.4901,1.919395
12510,12510100,1.98276,2.34984,2.1189,2.76299,1.87514,1.44897,1.88483,1.50505,2.03636,2.3379,1.39816,2.64952,1.37269,2.74236,1.04626,1.68162,2.0085,1.49528,1.927618333
12628,12628100,2.00385,2.35371,2.14298,2.77733,1.89442,1.44712,1.87227,1.5095,2.05381,2.342,1.39682,2.65543,1.37034,2.74939,1.05931,1.70479,2.01576,1.50182,1.936147222
12746,12746200,2.02505,2.36071,2.16734,2.79198,1.9167,1.44122,1.8547,1.51465,2.06857,2.34725,1.39921,2.66203,1.36617,2.75649,1.07687,1.73276,2.02316,1.51032,1.945287778
12864,12864200,2.04621,2.36797,2.19364,2.8091,1.94302,1.4362,1.83453,1.52053,2.08336,2.35133,1.40429,2.66525,1.36094,2.75865,1.09523,1.75844,2.0319,1.51888,1.954415
12982,12982200,2.06315,2.37564,2.2202,2.82592,1.96793,1.4304,1.81703,1.52797,2.09603,2.35803,1.40834,2.67024,1.35705,2.7601,1.11548,1.78061,2.03762,1.52659,1.963240556
13100,13100200,2.07967,2.38545,2.24689,2.84345,1.99898,1.42725,1.79973,1.53839,2.10914,2.36483,1.4107,2.67398,1.35396,2.76093,1.1337,1.80162,2.03977,1.53184,1.972237778
13218,13218200,2.09043,2.39442,2.2765,2.85758,2.03095,1.42562,1.7836,1.54781,2.1196,2.36574,1.41007,2.67731,1.34983,2.76168,1.14908,1.82404,2.03798,1.53434,1.97981
13336,13336300,2.10029,2.40336,2.30812,2.87054,2.06302,1.4269,1.76319,1.56112,2.1316,2.36762,1.409,2.6834,1.34647,2.76246,1.16492,1.85155,2.03353,1.52935,1.98758
13454,13454300,2.11071,2.41018,2.34116,2.87945,2.09394,1.43344,1.74006,1.57265,2.14641,2.36639,1.40516,2.69274,1.33961,2.76437,1.18398,1.87687,2.02614,1.52083,1.994671667
13572,13572300,2.12223,2.41991,2.37309,2.88636,2.12508,1.43817,1.71453,1.58015,2.16308,2.36727,1.40372,2.70282,1.3286,2.76573,1.20598,1.90256,2.01643,1.51249,2.001566667
13690,13690300,2.1341,2.42515,2.40223,2.89129,2.15378,1.44057,1.68982,1.58628,2.18006,2.36875,1.40031,2.70901,1.32016,2.7639,1.22765,1.92927,2.00204,1.50287,2.007068889
13808,13808300,2.14507,2.43064,2.4268,2.89773,2.1839,1.44327,1.66894,1.59028,2.19674,2.36977,1.395,2.71228,1.31371,2.76392,1.25134,1.95761,1.98124,1.4988,2.012613333
13926,13926400,2.15686,2.43493,2.44972,2.89775,2.21022,1.44141,1.64628,1.59175,2.21018,2.36962,1.38843,2.71185,1.30859,2.76662,1.27159,1.97966,1.95821,1.4956,2.016070556
14044,14044400,2.16792,2.43583,2.47238,2.89517,2.23271,1.44018,1.62234,1.59307,2.22344,2.37118,1.38191,2.7104,1.30443,2.76663,1.28953,1.99938,1.93682,1.49188,2.018622222
14162,14162400,2.17482,2.43731,2.49637,2.89474,2.25321,1.43357,1.60068,1.59637,2.23566,2.37512,1.37687,2.7155,1.30416,2.76937,1.30656,2.0196,1.91904,1.49158,2.022251667
14280,14280400,2.17662,2.43882,2.51895,2.89555,2.26953,1.42473,1.58233,1.59974,2.2526,2.37759,1.37437,2.71938,1.30085,2.77394,1.32347,2.03548,1.90511,1.49413,2.025732778
14398,14398400,2.17744,2.43434,2.54039,2.89498,2.28544,1.41239,1.56591,1.60167,2.26901,2.37661,1.37405,2.72892,1.29752,2.77958,1.33334,2.0533,1.88861,1.49993,2.028523889
14517,14516500,2.17684,2.42797,2.56202,2.89489,2.30105,1.39719,1.55133,1.60341,2.29086,2.37682,1.37181,2.74132,1.29568,2.78243,1.34209,2.06706,1.87293,1.51017,2.031437222
14635,14634500,2.17711,2.42053,2.57895,2.89157,2.31706,1.38357,1.54122,1.60317,2.30925,2.37553,1.36948,2.74966,1.29209,2.78911,1.34615,2.08169,1.85563,1.52243,2.033566667
14753,14752500,2.17462,2.40995,2.59453,2.88552,2.3343,1.36657,1.52758,1.59682,2.32292,2.36904,1.36445,2.75236,1.29073,2.79367,1.34738,2.09628,1.8341,1.53696,2.03321
14871,14870500,2.1689,2.40104,2.6108,2.88559,2.35328,1.35194,1.51298,1.59353,2.33615,2.36384,1.36368,2.75751,1.29357,2.79186,1.34798,2.11262,1.81268,1.54861,2.033697778
14989,14988500,2.16568,2.39253,2.62787,2.88999,2.37254,1.34075,1.50364,1.59027,2.35085,2.36457,1.36521,2.75564,1.29469,2.7887,1.3457,2.12339,1.78568,1.55992,2.034312222
15107,15106600,2.16829,2.38387,2.64321,2.89332,2.39671,1.33536,1.49661,1.58515,2.36418,2.37127,1.3695,2.75515,1.2999,2.79165,1.34847,2.13187,1.75179,1.5726,2.036605556
