Genomic Distance,Column1,10th,11th,12th,13th,14th,15th,16th,17th,18th,this work- Trajectories,2nd,3rd,4th,5th,6th,7th,8th,9th,avee
"9,206",9205560,1.54128,1.12175,1.47292,1.48186,1.65672,1.77031,1.40689,1.29515,1.27532,1.47808,1.26593,1.53324,1.23818,1.45247,1.35609,1.38155,1.32384,1.43442,1.415888889
"9,324",9323580,1.53639,1.13098,1.48148,1.48919,1.67281,1.77946,1.41307,1.30494,1.29421,1.49146,1.26656,1.55988,1.23982,1.45187,1.37165,1.39413,1.31766,1.44205,1.424311667
"9,442",9441600,1.53656,1.13561,1.48092,1.50078,1.6879,1.78652,1.41806,1.31619,1.31029,1.50443,1.26679,1.58528,1.24274,1.45419,1.3864,1.40078,1.31367,1.44588,1.431832778
"9,560",9559620,1.53452,1.13961,1.48055,1.51197,1.70582,1.79539,1.4213,1.3297,1.32599,1.5194,1.27244,1.6097,1.24395,1.45359,1.4004,1.41078,1.30814,1.44768,1.439496111
"9,678",9677640,1.53172,1.14021,1.47914,1.52815,1.72345,1.80655,1.42094,1.34139,1.34137,1.53791,1.28178,1.63218,1.24233,1.4505,1.41409,1.42166,1.30257,1.4475,1.446857778
"9,796",9795660,1.53103,1.13708,1.47814,1.54678,1.74228,1.81569,1.41851,1.35049,1.35826,1.55647,1.28807,1.65161,1.23479,1.44918,1.42595,1.43347,1.30013,1.44796,1.453660556
"9,914",9913680,1.53018,1.13479,1.47388,1.56742,1.75797,1.82179,1.41637,1.3627,1.37372,1.57475,1.29281,1.66931,1.22818,1.4483,1.43422,1.44593,1.29834,1.44544,1.459783333
"10,032",10031700,1.53007,1.13328,1.47173,1.58992,1.77171,1.82698,1.41436,1.3767,1.39259,1.59298,1.30015,1.68447,1.22272,1.44644,1.44245,1.45601,1.3005,1.43857,1.466201667
"10,150",10149700,1.53077,1.13172,1.46831,1.61201,1.78353,1.83241,1.41001,1.3905,1.41528,1.60996,1.30684,1.69839,1.22376,1.44472,1.45006,1.46723,1.30319,1.42893,1.472645556
"10,268",10267700,1.53406,1.12875,1.46981,1.63278,1.79116,1.83666,1.40835,1.40718,1.4368,1.62735,1.31427,1.71116,1.22706,1.44745,1.45202,1.47984,1.30618,1.41576,1.479257778
"10,386",10385800,1.53878,1.12771,1.47274,1.65421,1.8013,1.8444,1.40702,1.42584,1.45261,1.64163,1.32452,1.7254,1.22697,1.44633,1.4544,1.48976,1.30652,1.40352,1.485758889
