Genomic Distance,Column1,Li 2017,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,avee
"4,367",4366740,0.95198,0.648844,0.761327,0.625515,0.736068,1.05535,0.5921,0.844737,0.625,0.710022,0.882603,0.968557,0.715656,0.682767,0.772813,0.470564,0.696346,0.607971,0.737388,0.616633,0.73511205
"4,485",4484760,0.960416,0.657833,0.768288,0.629722,0.747779,1.06508,0.597191,0.845434,0.629793,0.714378,0.880505,0.980997,0.719855,0.688383,0.783597,0.472246,0.696683,0.616267,0.741336,0.619252,0.74075175
"4,603",4602780,0.96586,0.663102,0.77378,0.637038,0.757978,1.07629,0.601338,0.84666,0.635065,0.71963,0.881037,0.992493,0.723291,0.691219,0.797615,0.472736,0.695474,0.622838,0.74726,0.621463,0.74610835
"4,721",4720800,0.974169,0.670521,0.780528,0.640248,0.767064,1.08655,0.602578,0.844756,0.63814,0.724271,0.882885,1.00415,0.726937,0.695507,0.808622,0.473964,0.694779,0.631626,0.752462,0.622491,0.7511124
"4,839",4838820,0.982915,0.672156,0.787046,0.641888,0.773372,1.09823,0.600077,0.84279,0.637657,0.730023,0.884129,1.01888,0.729602,0.698067,0.822221,0.478306,0.693358,0.6362,0.753531,0.622359,0.75514035
"4,957",4956840,0.991772,0.675636,0.792158,0.647467,0.779847,1.11057,0.600628,0.840848,0.638648,0.736359,0.887404,1.03359,0.732885,0.702339,0.832789,0.483058,0.693733,0.644987,0.753361,0.62039,0.75992345
"5,075",5074860,1.00075,0.67742,0.796227,0.653294,0.784697,1.12334,0.599466,0.838026,0.640226,0.740897,0.88794,1.04908,0.735231,0.706791,0.840308,0.489212,0.694744,0.653461,0.753431,0.616715,0.7640628
"5,193",5192880,1.01176,0.675988,0.796821,0.65813,0.790141,1.13434,0.598243,0.834749,0.642779,0.7484,0.889797,1.06294,0.736267,0.710091,0.850299,0.489296,0.697532,0.663528,0.752935,0.613603,0.76788195
"5,311",5310900,1.0225,0.674404,0.799459,0.661725,0.794745,1.1449,0.601483,0.82766,0.645671,0.756733,0.894061,1.07583,0.734935,0.709237,0.86203,0.486688,0.699917,0.672935,0.752726,0.614407,0.7716023
"5,429",5428920,1.03542,0.677042,0.802425,0.669964,0.799207,1.15499,0.606684,0.821389,0.649494,0.767458,0.893742,1.08849,0.736296,0.711238,0.869725,0.491587,0.707045,0.684034,0.755376,0.616785,0.77691955
"5,547",5546940,1.0469,0.681693,0.802544,0.677101,0.804524,1.16465,0.61178,0.819397,0.656144,0.778882,0.891478,1.10052,0.735827,0.71185,0.874996,0.493123,0.713258,0.6943,0.75615,0.62164,0.78183785
"5,665",5664960,1.06036,0.684704,0.804745,0.687435,0.807982,1.172,0.618143,0.81336,0.662308,0.790537,0.889429,1.11304,0.733613,0.71179,0.880091,0.493416,0.720578,0.701004,0.757917,0.624396,0.7863424
"5,783",5782980,1.07437,0.684386,0.806284,0.699875,0.81003,1.17811,0.619647,0.806747,0.674352,0.800898,0.885607,1.12287,0.731158,0.710119,0.885218,0.497236,0.732301,0.710802,0.761941,0.622424,0.79071875
"5,901",5901000,1.08843,0.686027,0.811354,0.711753,0.813084,1.1824,0.624837,0.795168,0.685901,0.813124,0.881534,1.13054,0.732297,0.705205,0.892624,0.500491,0.742665,0.720204,0.76775,0.622621,0.79540045
"6,019",6019020,1.10024,0.68681,0.811886,0.725952,0.814657,1.18567,0.6297,0.78212,0.696827,0.82271,0.876412,1.13828,0.731006,0.698593,0.89885,0.503105,0.752358,0.727502,0.774017,0.622588,0.79896415
"6,137",6137040,1.10986,0.687777,0.817755,0.737908,0.818261,1.18522,0.63065,0.772161,0.708209,0.832803,0.869451,1.1456,0.728076,0.690859,0.905882,0.507399,0.759138,0.733289,0.78335,0.622077,0.80228625
"6,255",6255060,1.11915,0.69223,0.821294,0.751742,0.818105,1.1873,0.628108,0.762453,0.719783,0.842138,0.865075,1.15492,0.72568,0.68635,0.913858,0.514017,0.769441,0.742948,0.792779,0.617298,0.80623345
"6,373",6373080,1.12972,0.699316,0.823561,0.763698,0.8197,1.19198,0.630517,0.757123,0.729643,0.854064,0.860934,1.16377,0.721388,0.680684,0.91941,0.5153,0.781129,0.750173,0.800851,0.612971,0.8102966
"6,491",6491100,1.13902,0.70127,0.825598,0.773948,0.822418,1.19693,0.635699,0.753807,0.733979,0.864298,0.854923,1.17051,0.718675,0.675819,0.923862,0.519405,0.788638,0.757208,0.806746,0.618262,0.81405075
