Genomic_Distance,10th,11th,12th,13th,14th,15th,16th,17th,18th,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,avee1
12510100,2.56516,1.8572,1.81685,1.44769,2.16616,1.62175,1.67238,1.59236,2.48849,2.24073,1.94193,2.09776,2.12754,1.42359,2.16287,1.96686,1.99703,2.25097,1.96874
12628100,2.57651,1.86664,1.81162,1.46643,2.16592,1.63027,1.6755,1.59127,2.49676,2.23999,1.97491,2.09598,2.11999,1.42727,2.16082,1.9798,2.00003,2.25812,1.974323889
12746200,2.58744,1.88185,1.80729,1.48556,2.16743,1.64097,1.67624,1.5894,2.50652,2.237,2.00602,2.09566,2.11167,1.43716,2.16016,1.99436,2.00526,2.26414,1.980785
12864200,2.59949,1.89946,1.80696,1.5025,2.16976,1.65218,1.68016,1.58169,2.51261,2.23751,2.02953,2.09499,2.10544,1.44633,2.15503,2.01264,2.00972,2.27195,1.987108333
12982200,2.61026,1.91384,1.8096,1.52311,2.17523,1.66401,1.68348,1.57223,2.51364,2.23722,2.05138,2.09239,2.10303,1.46112,2.15337,2.02431,2.01203,2.27949,1.993318889
13100200,2.62116,1.92097,1.80689,1.54791,2.18115,1.67495,1.6808,1.56171,2.51739,2.23613,2.07288,2.08843,2.09998,1.47985,2.15148,2.03297,2.01172,2.28938,1.998652778
13218200,2.632,1.92413,1.79961,1.56916,2.18841,1.69089,1.67894,1.54708,2.51695,2.23733,2.09343,2.08408,2.09791,1.50126,2.14607,2.04051,2.0107,2.30048,2.003274444
13336300,2.64231,1.92834,1.79693,1.58821,2.1922,1.71152,1.67916,1.5319,2.51411,2.23776,2.11685,2.08596,2.10063,1.52947,2.14253,2.04948,2.00839,2.31093,2.00926
13454300,2.64909,1.92949,1.79317,1.60244,2.19644,1.73197,1.68109,1.5208,2.51139,2.24176,2.14177,2.08941,2.10059,1.55889,2.14368,2.05559,2.01218,2.31642,2.015342778
13572300,2.65582,1.92859,1.79093,1.6169,2.19766,1.75164,1.68198,1.50581,2.50214,2.24698,2.16475,2.09655,2.10298,1.58485,2.14465,2.06095,2.01853,2.32326,2.020831667
13690300,2.66038,1.92289,1.78634,1.62959,2.19704,1.76474,1.68518,1.49498,2.4943,2.25528,2.19018,2.09901,2.10882,1.61471,2.14666,2.06497,2.02551,2.32157,2.025675
13808300,2.66392,1.9203,1.77741,1.64193,2.19282,1.77629,1.6859,1.48594,2.47782,2.26385,2.21436,2.1003,2.10852,1.63818,2.148,2.07749,2.02813,2.32185,2.029056111
13926400,2.66402,1.91218,1.76382,1.64584,2.18581,1.78819,1.68101,1.47473,2.46219,2.27187,2.23806,2.09825,2.10787,1.66058,2.14907,2.08932,2.03179,2.3125,2.029838889
14044400,2.66298,1.90788,1.75386,1.644,2.17519,1.8004,1.67417,1.46041,2.44879,2.27768,2.26169,2.09319,2.1053,1.68349,2.14608,2.10244,2.03645,2.30015,2.029675
